ItemID,name_rus,description,brand_name,CommercialTypeName4,PriceDiscounted,item_time_alive,seller_time_alive,item_count_sales30,item_count_returns30,true_label,ensemble_proba,reasoning
106265,Модем Huawei E3372-153 оригинальный  (Ttl+ изм. imei)- полная разлочка,"Работает со смартфонными тарифами! ОРИГИНАЛ<br/><br/>Смена IMEI, фиксация TTL<br/><br/>4G LTE модем Huawei E3372-153 — компактный модем, работающий в сетях 3G и 4G с любыми операторами связи. С его помощью можно легко обеспечить доступ к интернету для любого компьютера или ноутбука, оснащенного разъемом USB. Веб-интерфейс HUAWEI HiLink является очень простым и понятным.<br/><br/>При необходимости присутствует возможность подключать внешние антенны с помощью двух разъёмов CRC9.<br/><br/>Huawei E3372-153(Huawei E3372-153 с полной разлочкой под все тарифы и под всех операторов, кроме МТС(смарт)). НОВИНКА-июль 2021г.",,Модем,889.6364649293955,622,886.0,3,0,0,0.4316149279475212,"Карточка вызывает сомнения по следующим причинам: Непредставленный брендинг: Отсутствие информации об авторизованном производителе модели Huawei E3372-153, что может указывать на возможные проблемы с точностью данных. Недостаточный исторический контекст: Меньше трех продаж за тридевять золотых дня, особенно когда карточка относится к новому продукту, могут свидетельствовать о недостаточной активности или проблемах с продажами. Для модератора следует внимательнее рассмотреть эти факторы и обратиться к более ранним записям этой карточки, чтобы получить полное представление о ее истории и текущих условиях."
81240,Смарт часы детские умные с GPS (LBS) и SIM / Watch синие голубые,"Вы ищете идеальные детские часы, которые будут не только модными и стильными, но и функциональными? Тогда наши детские смарт часы - именно то, что вам нужно!<br/><br/>Мы представляем вам полноразмерные наручные детские умные часы с сим картой, которые обладают самыми передовыми технологиями. Эти часы - настоящий переворот в мире детской электроники!<br/><br/>Одной из главных проблем, с которыми сталкиваются родители, является их беспокойство о безопасности своих детей. Но с нашими смарт часами с gps вы можете быть спокойны. Их уникальная функция GPS-отслеживания поз",,SmartWatch,725.8490853840121,246,252.0,40,2,0,0.48901423066854477,"Ваша карточка подлежит дополнительной проверке из-за следующих особенностей: Бренд не указан: Без бренда сложно определить качество товара и его соответствующую цену. Цена: 8490853840121 ₽: Низкая цена может свидетельствовать о возможном скрытом повышении стоимости товара. Для более точного анализа рекомендовано обратиться к внутренней оценке риска, которая указывает на умеренный уровень рисков."
220676,"hoco Наушники проводные, черный",,hoco,Наушники проводные,678.8354549830526,5,7.0,0,0,1,0.5551009327173233,"Ваша карточка подлежит дополнительной проверке из-за следующих особенностей: Цена: Вы указали цену 8354549830526 ₽, что является очень высокой для данного товара. Это может быть предупреждением о возможных проблемах с качеством или надежностью продукта. Продажи за 30 дней: Карточка показывает, что ни одна покупательница не сделала покупку за последние тридцать дней. Это может свидетельствовать о недостаточной привлекательности товара или его отсутствии интереса среди потенциальных клиентов."
136984,"Torex Планшет Pad 8 Plus, 8"" 6 ГБ/128 ГБ, черный, оранжевый","В данном планшете установлен новый мощный процессор MTK6765, 8 ядер, частота 2,3ГГц, увеличен объём памяти до 6ГБ ОЗУ, 128ГБ ПЗУ, поддержка карт памяти microSD до 1ТБ.<br/><br/>TOREX 8 PLUS поддерживает все популярные стандарты NFC, Двух диапазонный Wi-Fi, bluetooth 5.0, новейший android 11, полностью сертифицированный в google GMS, и поддерживающий все корпоративные стандарты работы в android среде (MDM, удалённое управление планшетом). Имеется поддержка интерфейсов LAN OTG, USB OTG. Планшет оснащён отличной камерой в 13МП. Экран FULLHD повышенной яркости, всё та же феноменальная батарея в 10Ач и температурным д",Torex,Планшетный компьютер,1109.6325771724282,453,837.0,5,0,0,0.6878233328461647,"Карточка вызывает сомнения из-за высокого внутреннего рейтинга риска (повышенный). Это указывает на возможные проблемы с качеством товара или его функциональностью. История продаж: Низкий показатель продаж за последние 30 дней (5 штук) и отсутствие возвратов указывают на проблему с покупками и могут свидетельствовать о некачественном товаре или непродуманной ценовой политике продавца. Возраст продавца: Возраст продавца составляет около 837 дней, что является значительным сроком, особенно для товаров, требующих длительного обслуживания или ремонта."
102743,"Смартфон 8/256 ГБ, черный","Основные преимущества<ul><li>Супер-емкий аккумулятор 21000 мАч!</li><li>Экран 6,78 дюймов с разрешением 2400x1080;</li><li>Основная камера 64Мп;</li><li>Фронтальная камера 20Мп;</li><li>Степень защиты корпуса - IP68, IP69K, MIL-STD-810G;</li><li>Оперативная память 8Гб, постоянная память 256Гб;</li><li>Сеть: 4G, NFC, Bluetooth 5;</li><li>Установлен Android 12 (скриншоты приложений можно посмотреть внизу, после описания);</li><li>Программируемая клавиша;</li><li>Навигация GLONASS, Beidou, GPS, Galileo.</li></ul>Аккумулятор в смартфоне:<ul><li>Объем аккумулятора: 21000 мАч;</li><li>2252 часа в режиме ожидания;</li><li>123 часа в режиме звонка;</li><li>36 часов в режиме пр",,Смартфон,1048.5773461895724,31,763.0,0,0,1,0.4269394278526306,"Карточка вызывает сомнения из-за отсутствия бренда и информации о производителе. Также важно отметить, что цена значительно выше средней рыночной стоимости аналогичных устройств. Кроме того, информация об аккумуляторе и других технических характеристиках недостаточно подробна. В первую очередь следует обратиться к деталям о производителе и цене, так как они могут указывать на возможные скрытые проблемы или специфические модели."
203115,"Индукционная варочная панель HI 642 BYC, черный","Индукционная панель Weissgauff, оснащённая технологией непрерывного нагрева, свободной зоной Flex Zone и раздельной системой слайдерного управления Multi Touch - это новое слово в удобстве приготовления еды на вашей кухне! <ul><li>Индукционная технология нагрева, при которой повышение температуры происходит непосредственно в дне самой посуды, позволит готовить гораздо быстрее, расходовать меньше электроэнергии и быть уверенным в том, что ""убежавшая"" еда не пригорит к поверхности: ведь сама она не раскаляется.</li></ul><ul><li>Технология непрерывного нагрева является наибол",,Встраиваемая панель электрическая,1044.877719229852,12,113.0,0,0,0,0.540489673614502,"Карточка вызывает сомнения из-за отсутствия бренда и информации о продавце. Это может указывать на недостаточно обширное исследование рынка или проблемы с точностью данных. Модератору следует внимательнее рассмотреть информацию о бренде и истории продавца, чтобы лучше оценить надежность товара."
203851,"Умные часы для детей smart baby watch, розовый","Детские умные часы с GPS - HDcom TD-02S-2G с телефоном и GPS / детские умные часы с 2G. SOS-вызов на 3 номера. Детские смарт часы HDcom TD-02S-2G с телефоном и GPS позволяют родителям контролировать местоположение ребенка дистанционно со смартфона, а также служат для голосовой связи и обмена голосовыми и текстовыми сообщениями.Для работы с устройством необходимо скачать на смартфон бесплатное приложение (Android и iOS), а также установить в часы обычную сим-карту сотового оператора. В случае, если не удается установить связь с ребенком, родители смогут подключиться к часам и прослуш",,SmartWatch,677.7789909356574,6,592.0,0,0,0,0.6268217414617538,"Карточка вызывает сомнения из-за отсутствия бренда и информации о продавце. Также важно отметить низкую цену и нулевые продажи за последние тридцать дней, что указывает на возможную проблему с качеством товара или его недоступностью для покупателей. В первую очередь следует обратить внимание на информацию о продавце и бренде, а также внутреннюю оценку риска, которая является высокой."
45350,"BIG Геймпад, Bluetooth, Проводной, фиолетовый","Хотите полностью погрузиться в волнительный мир игровых приключений? Тогда этот беспроводной джойстик точно для вас! Он обладает всеми необходимыми функциями и совместим с популярными игровыми платформами, такими как приставками и ПК. Этот геймпад был создан с учетом потребностей самых требовательных игроков. Благодаря своему безупречному качеству и надежности, он станет вашим верным помощником в мире виртуальной реальности. Джойстик - это не просто геймпад, это настоящий путеводитель в мир игр. Эргономичный дизайн позволит вам с комфортом выполнят",BIG,Геймпад для игровой приставки,728.3322047595941,10,892.0,1,0,0,0.3580944761633873,"Ваша карточка BIG Геймпад, Bluetooth, Проводной, фиолетовый, вызывает сомнения из-за высокой ценовой отметки (728.33 ₽). Это может указывать на возможные скрытые комиссии или недостаточное качество товара. Также важно рассмотреть историю продаж (1 продажа за 10 дней) и внутреннюю оценку риска (умеренный), которые могут свидетельствовать о низкой уверенности в качестве. Перед тем как принять окончательное решение, рекомендую обратить внимание на отзывы покупателей и проверить наличие гарантийного обслуживания."
45348,"BIG Геймпад, Bluetooth, Проводной, оранжевый, темно-синий","Хотите полностью погрузиться в волнительный мир игровых приключений? Тогда этот беспроводной джойстик точно для вас! Он обладает всеми необходимыми функциями и совместим с популярными игровыми платформами, такими как приставками и ПК. Этот геймпад был создан с учетом потребностей самых требовательных игроков. Благодаря своему безупречному качеству и надежности, он станет вашим верным помощником в мире виртуальной реальности. Джойстик - это не просто геймпад, это настоящий путеводитель в мир игр. Эргономичный дизайн позволит вам с комфортом выполнят",BIG,Геймпад для игровой приставки,745.9570687071887,9,896.0,0,0,0,0.4523645266890526,"Ваша карточка BIG Геймпад, Bluetooth, Проводной, оранжевый, темно-синий, вызывает сомнения из-за следующих факторов: Цена: Высокая цена (745.9570687071887 ₽) может указывать на недостаточное качество или отсутствие гарантий. Продажи за 30 дней: Отсутствие продаж (0) свидетельствует о проблемах с продвижением или покупкой товара. Внутренняя оценка риска: Умеренный риск, но это не всегда гарантирует безопасность покупки. Для более детального анализа рекомендую обратить внимание на следующие параметры: Бренд: BIG известен своими высокопроизводительными продуктами, но важно проверить его историю работы на других площадках."
66409,"Смартфон S23 Ultra CN 1 ТБ, синий",Android 12/ Dual SIM / 5G / GPS / Русский,,Смартфон,944.298056546885,2,53.0,0,0,0,0.34999122470617294,"Карточка подлежит дополнительной проверке из-за отсутствия бренда и недостаточного количества продаж за последние 30 дней. Убедитесь, что информация об истории продаж и бренде будет добавлена, чтобы более точно оценить текущую цену и потенциальные риски покупки."
